Frequency [MHz],Freq. Offset [kHz],Input Power [dBm],BER [%],RSSI
902.0,50.0,-91.0,0.0,-87.0
902.0,50.0,-92.0,0.0,-88.0
902.0,50.0,-93.0,0.0,-89.0
902.0,50.0,-94.0,0.0,-90.0
902.0,50.0,-95.0,0.0,-91.0
902.0,50.0,-96.0,0.0,-92.0
902.0,50.0,-97.0,0.0,-94.0
902.0,50.0,-98.0,0.0,-94.0
902.0,50.0,-99.0,0.0,-95.0
902.0,50.0,-100.0,0.0,-96.0
902.0,50.0,-101.0,0.0,-98.0
902.0,50.0,-102.0,0.0,-98.0
902.0,50.0,-103.0,0.0,-100.0
902.0,50.0,-104.0,0.0,-100.0
902.0,50.0,-105.0,0.0,-101.0
902.0,50.0,-106.0,0.0,0.0
902.0,60.0,-87.0,0.0,-84.0
902.0,60.0,-88.0,0.0,-85.0
902.0,60.0,-89.0,0.0,-86.0
902.0,60.0,-90.0,0.0,-87.0
902.0,60.0,-91.0,0.0,-88.0
902.0,60.0,-92.0,0.0,-89.0
902.0,60.0,-93.0,0.0,-89.0
902.0,60.0,-94.0,0.0,-90.0
902.0,60.0,-95.0,0.0,-92.0
902.0,60.0,-96.0,0.01,-93.0
902.0,60.0,-97.0,0.0,0.0
902.0,70.0,-87.0,0.0,-84.0
902.0,70.0,-88.0,0.0,-85.0
902.0,70.0,-89.0,0.0,-87.0
902.0,70.0,-90.0,0.01,-87.0
902.0,70.0,-91.0,0.0,-89.0
902.0,70.0,-92.0,0.01,-89.0
902.0,70.0,-93.0,0.01,-90.0
902.0,70.0,-94.0,0.03,-90.0
902.0,70.0,-95.0,0.01,-93.0
902.0,70.0,-96.0,0.0,0.0
902.0,80.0,-87.0,0.0,0.0
902.0,90.0,-87.0,0.0,0.0
902.0,100.0,-87.0,0.0,0.0
